created_at,text
Sun May 19 06:24:58 +0000 2019,If no explanation within 24H would suggest booting @VitalikButerin from humans and proof-of-burn on HUM from V.
Sun May 19 06:40:26 +0000 2019,Only let intellectually honest people into the first 10K! Any philosophy. Builders and thinkers!
Sun May 19 06:57:18 +0000 2019,.@VitalikButerin you seriously thought enterprise blockchain and IoT was how this tech was going to pan out. C’mon.
Sun May 19 07:05:43 +0000 2019,@futjrn @HumanityDAO @nicksdjohnson Sweet!
Sun May 19 07:06:17 +0000 2019,@futjrn @HumanityDAO @nicksdjohnson Oh idk how to do this actually. Backend has it @mykelp
Sun May 19 07:17:07 +0000 2019,@StopAndDecrypt @jgarzik @VladZamfir See my page for what he means. Bitcoin maxis would love to have you on board i… https://t.co/gtLdZ8DnIK
Sun May 19 07:30:05 +0000 2019,Bitcoin going to zero. PoS solved in a smart contract. Who will hold the bags?
Sun May 19 07:51:47 +0000 2019,".@ameensol I know you have been frustrated with EF, curious to get your thoughts on the situation unfolding."
Sun May 19 07:52:32 +0000 2019,Also I went to your code walkthrough on Moloch in SF and got a couple insights for @HumanityDAO. Helpful!
Sun May 19 07:59:42 +0000 2019,Honest protocols will win. @Bitcoin @ethereum @AugurProject @UniswapExchange. Figure it out before you release!
Sun May 19 08:41:23 +0000 2019,@futjrn @HumanityDAO @rstormsf @AnthemGold Super cool! I knew there would be a lot of low hanging fruit for first u… https://t.co/geHM6xca1d
Sun May 19 09:07:48 +0000 2019,.@VitalikButerin @VladZamfir if you guys publicly apologize you can join. I think you guys are smart and Ethereum i… https://t.co/KwkCiSmKhi
Sun May 19 09:09:22 +0000 2019,Don’t be a malicious node! You didn’t know the rules before so giving you a second chance. Now you know.
Sun May 19 09:31:04 +0000 2019,The world will be a better place without bots and trolls. Everyone build on @HumanityDAO before the election! @jack… https://t.co/FdMjLmLNNW
Sun May 19 09:34:29 +0000 2019,"Totally get why you liked BTC. ETH is cool too. PoS solved, no more waste."
Sun May 19 09:39:15 +0000 2019,Also Twitter is part of the core protocol right now. Thanks for allowing freedom of speech!
Sun May 19 09:41:30 +0000 2019,@ameensol .@HumanityDAO solves PoS. Can explain it to a 5 year old but basically you just have humans decide the bl… https://t.co/Yrb0clhfcL
Sun May 19 09:42:00 +0000 2019,@ameensol @HumanityDAO Appears they beat me to the punch by a couple days and knew what was coming
Sun May 19 09:42:46 +0000 2019,@ameensol @HumanityDAO Humans are nodes now so you have to be honest. Hoping they will apologize! Would also love t… https://t.co/MWnQ3yopq1
Sun May 19 09:44:57 +0000 2019,@ameensol @HumanityDAO @MolochDAO Can also compensate if HUM takes over since you solved some of it. Uni and TCR was the rest.
Sun May 19 09:46:48 +0000 2019,@ameensol @HumanityDAO It’s already solved. See iterated prisoner’s dilemma with unknown rounds
Sun May 19 09:47:52 +0000 2019,@ameensol @HumanityDAO The insight is to get a bunch of competitors (prisoners) to agree to perfect competition. Bl… https://t.co/BcgoyDQYGz
