time,text
Tue May 21 00:39:07 +0000 2019,@androolloyd @PhABCD @nicksdjohnson @soonaorlater @ljxie @_jillruth @HumanityDAO SO HUMANITY IS HARD TO SYBIL ATTAC… https://t.co/G2KQes1wqS
Tue May 21 00:39:41 +0000 2019,@androolloyd @PhABCD @nicksdjohnson @soonaorlater @ljxie @_jillruth @HumanityDAO THEN YOU GET THE BENEFITS OF SELF-… https://t.co/FUrNaLer3c
Tue May 21 00:40:20 +0000 2019,@androolloyd @PhABCD @nicksdjohnson @soonaorlater @ljxie @_jillruth @HumanityDAO IT'S BECAUSE IT'S A RADICAL CONCEP… https://t.co/EDP0vNfZgl
Tue May 21 00:40:56 +0000 2019,@androolloyd @PhABCD @nicksdjohnson @soonaorlater @ljxie @_jillruth @HumanityDAO INTERESTING RESULT IS THEY COOPERA… https://t.co/gO6b1tRDBE
Tue May 21 00:42:05 +0000 2019,@androolloyd @PhABCD @nicksdjohnson @soonaorlater @ljxie @_jillruth @HumanityDAO THE CODE IS ALSO GOOD AND I CAN AN… https://t.co/JP4pJzQQxD
Tue May 21 00:45:26 +0000 2019,@JacobShiach @PhABCD @soonaorlater @ljxie @_jillruth THEY DON'T QUITE GET IT YET BECAUSE IT'S RADICAL TO SAY THAT H… https://t.co/pIahvtBS4Q
Tue May 21 00:45:39 +0000 2019,@kacperwikiel @JacobShiach @PhABCD @soonaorlater @ljxie @_jillruth AYOOOOOOOOOOO
Tue May 21 00:48:05 +0000 2019,@JacobShiach @PhABCD @soonaorlater @ljxie @_jillruth I CAN TYPE IN CAPS ON TWITTER BECAUSE IT DOESN'T REQUIRE STAKE… https://t.co/NhoqhZRtXv
Tue May 21 00:49:13 +0000 2019,@JacobShiach @PhABCD @soonaorlater @ljxie @_jillruth I'M SORRY FOR ANNOYING YOU ALL BUT I HOPE YOU WILL ASSIGN SOME… https://t.co/0jKVLDv9sB
Tue May 21 00:49:53 +0000 2019,@androolloyd @PhABCD @nicksdjohnson @soonaorlater @ljxie @_jillruth @HumanityDAO IT WAS PROVED IN 1959 SEE PRISONER… https://t.co/HFqD29y7Za
Tue May 21 00:50:49 +0000 2019,@androolloyd @PhABCD @nicksdjohnson @soonaorlater @ljxie @_jillruth @HumanityDAO BLOCKCHAIN IS UNKNOWN ROUNDS OBVIO… https://t.co/iHhB0CHivB
